id;estado;fc;fm;fecha;codigo;cliente;tipo_envio;numini;numfin;totenvio;entregado;uc_id;um_id;fpago
290;1;22/12/2021 00:00;29/08/2022;22/12/2021 00:00;XCO-708;DALIA MU?OZ;GUIA MADRE;829451;829550;100;1;;;POR COBRAR
291;1;22/12/2021 00:00;29/08/2022;22/12/2021 00:00;XCO-914;PACA EXPRESS;GUIA MADRE;829551;829600;50;1;;;POR COBRAR
292;1;27/12/2021 00:00;29/08/2022;27/12/2021 00:00;ESC;AGENCIA ESCUINTLA;GUIA MADRE;829901;830250;350;1;;;GUIA EN BLANCO
293;1;28/12/2021 00:00;29/08/2022;28/12/2021 00:00;XEL-56;PROMOCIONES Y VENTAS DE OCCIDENTE;GUIA MADRE;830851;830950;100;0;;;CREDITO
294;1;28/12/2021 00:00;29/08/2022;28/12/2021 00:00;XCO-831;FREM-COLOR, S.A.;GUIA MADRE;830951;831000;50;1;;;POR COBRAR
295;1;28/12/2021 00:00;29/08/2022;28/12/2021 00:00;XCO-496;NAT & CO MAYOREO;GUIA MADRE;831001;831200;200;1;;;POR COBRAR
296;1;28/12/2021 00:00;29/08/2022;28/12/2021 00:00;XCO-29;HIVISA;GUIA MADRE;831201;831400;200;1;;;POR COBRAR
297;1;29/12/2021 00:00;29/08/2022;29/12/2021 00:00;XCO-283;PACOL;GUIA MADRE;831551;831600;50;1;;;POR COBRAR
298;1;29/12/2021 00:00;29/08/2022;29/12/2021 00:00;GUA-290;CORPORACION PLUS ,S.A;GUIA MADRE;831601;831700;100;1;;;CREDITO
299;1;29/12/2021 00:00;29/08/2022;29/12/2021 00:00;XCO-1038;AUTOHOUS;GUIA MADRE;831701;831750;50;1;;;POR COBRAR
300;1;3/01/2022 00:00;29/08/2022;3/01/2022 00:00;XCO-846;EKA REPOSTERIA;GUIA MADRE;831901;832000;100;1;;;POR COBRAR
301;1;3/01/2022 00:00;29/08/2022;3/01/2022 00:00;PRE-795;DISTRIBUIDORA DAKO;GUIA MADRE;832001;832100;100;1;;;PREPAGO
302;1;3/01/2022 00:00;29/08/2022;3/01/2022 00:00;XCO-695;WACHALAL //FUENTES DEL ESTILO S,A.;GUIA MADRE;832101;832250;150;1;;;POR COBRAR
303;1;3/01/2022 00:00;29/08/2022;3/01/2022 00:00;XCO-81;MULTINEGOCIOS GENERALES S,A.;GUIA MADRE;832251;832300;50;1;;;POR COBRAR
304;1;3/01/2022 00:00;29/08/2022;3/01/2022 00:00;MAZ;AGENCIA MAZATENANGO;GUIA MADRE;832301;832550;250;1;;;GUIAS EN BLANCO
305;1;29/12/2021 00:00;29/08/2022;29/12/2021 00:00;GUA-8570;IMPORTADORA FIESTA Y CIA LTDA;GUIA MADRE;832551;834550;2000;1;;;CREDITO
306;1;3/01/2022 00:00;29/08/2022;3/01/2022 00:00;MAZ;AGENCIA MAZATENANGO;GUIA MADRE;834551;834650;100;1;;;GUIAS EN BLANCO
307;1;4/01/2022 00:00;29/08/2022;4/01/2022 00:00;BAR;AGENCIA BARBERENA;GUIA MADRE;834651;834950;300;1;;;GUIA EN BLANCO
308;1;4/01/2022 00:00;29/08/2022;4/01/2022 00:00;CHI;AGENCIA CHIQUIMULA;GUIA MADRE;834951;835450;500;1;;;GUIA EN BLANCO
309;1;4/01/2022 00:00;29/08/2022;4/01/2022 00:00;PRE-998;DISTRIBUIDORA MANANTIAL;GUIA MADRE;835451;835522;72;1;;;PREPAGO
310;1;4/01/2022 00:00;29/08/2022;4/01/2022 00:00;XCO-548;MIA SECRET//JL INTERNACIONAL S,A;GUIA MADRE;835523;835550;28;0;;;POR COBRAR
311;1;4/01/2022 00:00;29/08/2022;4/01/2022 00:00;XCO-36;F.P.K. S,A.;GUIA MADRE;835951;836550;600;1;;;POR COBRAR
312;1;5/01/2022 00:00;29/08/2022;5/01/2022 00:00;XCO-482;ZONA ACCESORIOS //ROBERTO DELGADO;GUIA MADRE;836551;836650;100;1;;;POR COBRAR
313;1;5/01/2022 00:00;29/08/2022;5/01/2022 00:00;XCO-860;IMPORAUTO;GUIA MADRE;836651;836700;50;1;;;POR COBRAR
314;1;5/01/2022 00:00;29/08/2022;5/01/2022 00:00;XCO-797;JL INTERNACIONAL, S.A.;GUIA MADRE;836701;836750;50;1;;;POR COBRAR
315;1;5/01/2022 00:00;29/08/2022;5/01/2022 00:00;XCO-1004;SABY STATIONERY;GUIA MADRE;836751;836800;50;1;;;POR COBRAR
316;1;5/01/2022 00:00;29/08/2022;5/01/2022 00:00;CHM;AGENCIA CHIMALTENANGO;GUIA MADRE;836801;837100;300;1;;;POR COBRAR
317;1;7/01/2022 00:00;29/08/2022;7/01/2022 00:00;GUA-6864;COMERCIALIZADORA AUTOMOTRIZ J.A. VASQUEZ;GUIA MADRE;837301;837450;150;1;;;CREDITO
318;1;6/01/2022 00:00;29/08/2022;6/01/2022 00:00;XCO-381;PLAYERAS QUETZAL;GUIA MADRE;837451;837550;100;1;;;POR COBRAR
319;1;7/01/2022 00:00;29/08/2022;7/01/2022 00:00;GUA-893;COMERCIALIZADORA BIOAGRO;GUIA MADRE;837551;837650;100;1;;;CREDITO
320;1;7/01/2022 00:00;29/08/2022;7/01/2022 00:00;XCO-117;COMERCIALIZADORA OM;GUIA MADRE;837951;838200;250;1;;;POR COBRAR
321;1;7/01/2022 00:00;29/08/2022;7/01/2022 00:00;XCO-478;LILIAN AMANDA ROSSAL DE CASTILLO;GUIA MADRE;838201;838300;100;1;;;POR COBRAR
322;1;7/01/2022 00:00;29/08/2022;7/01/2022 00:00;XCO-30;CASA DE LOS RODAMIENTOS;GUIA MADRE;838301;838400;100;0;;;POR COBRAR
323;1;7/01/2022 00:00;29/08/2022;7/01/2022 00:00;XCO-811;MULTISERVICIOS IDEART;GUIA MADRE;838401;838450;50;1;;;POR COBRAR
324;1;8/01/2022 00:00;29/08/2022;8/01/2022 00:00;XCO-1036;ALDOS DEITALIA S.A.;GUIA MADRE;838451;838550;100;1;;;POR COBRAR
325;1;11/01/2022 00:00;29/08/2022;11/01/2022 00:00;XCO-860;IMPORAUTO;GUIA MADRE;838551;838600;50;0;;;POR COBRAR
326;1;11/01/2022 00:00;29/08/2022;11/01/2022 00:00;CON-810;PUROS S.V.;GUIA MADRE;838601;838650;50;0;;;CONTADO
327;1;11/01/2022 00:00;29/08/2022;11/01/2022 00:00;GUA-594;MEDICIN FARMACEUTICA S,A.;GUIA MADRE;838651;838750;100;1;;;CREDITO
328;1;11/01/2022 00:00;29/08/2022;11/01/2022 00:00;XCO-223;IMPORTADORA REGIS;GUIA MADRE;838751;838800;50;1;;;POR COBRAR
329;1;11/01/2022 00:00;29/08/2022;11/01/2022 00:00;PRE-380;MILAGRO PECUARIO S.A.;GUIA MADRE;838801;838830;30;1;;;PREPAGO
330;1;11/01/2022 00:00;29/08/2022;11/01/2022 00:00;V03-1046;MULTIPRODUCTOS HOSPITALARIOS E INDUSTRIALES;GUIA MADRE;838831;838850;20;1;;;CREDITO
331;1;11/01/2022 00:00;29/08/2022;11/01/2022 00:00;XCO-829;CORPORACION DE AUTO PARTES S.A.;GUIA MADRE;838851;838900;50;1;;;POR COBRAR
332;1;11/01/2022 00:00;29/08/2022;11/01/2022 00:00;ZAC;AGENCIA ZACAPA;GUIA MADRE;838901;839200;300;1;;;GUIAS EN BLANCO
333;1;12/01/2022 00:00;29/08/2022;12/01/2022 00:00;PRE-13;ALMACENES CHANG Y CIA;GUIA MADRE;839301;839550;250;1;;;PREPAGO
334;1;13/01/2022 00:00;29/08/2022;13/01/2022 00:00;XCO-883;CALZADO ADRIANA;GUIA MADRE;839901;840000;100;1;;;CONTRA ENTREGA
335;1;13/01/2022 00:00;29/08/2022;13/01/2022 00:00;XCO-63;CORPORACION ABINSA;GUIA MADRE;840001;840100;100;0;;;POR COBRAR
336;1;13/01/2022 00:00;29/08/2022;13/01/2022 00:00;XCO-1043;SIEMBRAS VISION S.A.;GUIA MADRE;840101;840150;50;1;;;POR COBRAR
337;1;13/01/2022 00:00;29/08/2022;13/01/2022 00:00;PRE-998;DISTRIBUIDORA MANANTIAL;GUIA MADRE;840151;840250;100;1;;;PREPAGO
